"site_id","year","kelp","no3","waves"
1,1987,438.25,5.8025,2.727
2,1987,9912.25,5.6325,4.437
3,1987,40826.375,5.4125,3.0525
4,1987,21002.5,5.4725,2.96125
5,1987,7719,5.3275,2.9315
6,1987,222116.875,5.295,2.91475
7,1987,89125.125,5.23,2.62475
8,1987,118175.125,5.235,2.6225
9,1987,24543.5,5.1475,2.53775
10,1987,70274.625,5.12,2.3385
11,1987,22005.875,5.085,2.202
12,1987,30544.5,5.075,2.4875
13,1987,69323.25,5.045,2.20075
14,1987,137168.25,5.0525,2.69625
15,1987,76376,4.89,1.83475
16,1987,21358.375,4.845,2.2105
17,1987,197631.375,4.845,1.978
18,1987,30556.75,4.73,1.9655
19,1987,57106.25,4.745,1.75975
20,1987,23907.375,4.7225,1.85425
21,1987,23689,4.7125,1.89725
22,1987,3958,5.695,0.695
23,1987,16692,5.5125,1.19575
24,1987,55580.5,5.5125,1.14175
25,1987,57292.625,5.505,2.373
26,1987,110113,5.4275,1.9135
27,1987,226566.75,5.4275,2.59725
28,1987,223031.75,5.45,3.46075
29,1987,158729.25,5.3275,4.24425
30,1987,171640.75,5.2775,3.95425
31,1987,589231.5,5.395,4.6425
32,1987,55612.5,5.4075,4.2695
33,1987,101187.5,5.255,4.23925
34,1987,200106.5,5.38,4.05225
35,1987,381483.25,5.38,4.533
36,1987,849357.25,5.935,2.88125
37,1987,623234,5.935,3.90675
38,1987,689956.75,5.935,3.20825
39,1987,468573.5,5.935,2.469
40,1987,307157.75,6.225,2.548
41,1987,450592.75,6.0925,2.195
42,1987,666951.75,6.0925,2.53825
43,1987,768605.5,6.315,2.8615
44,1987,40563.75,6.32,1.78625
45,1987,58026.25,6.82,1.378
46,1987,145030.25,6.87,2.25775
47,1987,102017.5,6.2475,4.70725
48,1987,541761.5,6.2475,3.93475
49,1987,462397.25,6.1825,2.80325
50,1987,292213.125,6.8375,2.782
51,1987,172022.25,6.8375,4.164
52,1987,177685.75,6.2275,5.2075
53,1987,293297.75,6.0975,4.51425
54,1987,412045,6.71,3.6085
55,1987,507761.25,6.7,3.342
56,1987,102193.25,6.7,4.28825
57,1987,514819.75,6.615,4.0625
58,1987,382512.75,6.58,3.7825
59,1987,525631.75,6.58,3.97575
60,1987,387290,6.58,4.1525
61,1987,5742.25,6.465,4.566
62,1987,114219.25,6.3475,3.9025
63,1987,120826,6.3475,4.585
64,1987,524008.5,6.3475,3.4755
65,1987,35614.25,5.2225,4.293
66,1987,105841.25,6.875,4.162
67,1987,38094.75,5.7925,3.71
68,1987,19222.5,5.7925,4.14375
69,1987,64541.75,5.4225,4.6445
70,1987,287213.5,5.545,4.19925
71,1987,491868.25,6.22,3.652
72,1987,146482,6.22,3.63525
73,1987,270825.5,6.1775,4.239
74,1987,190,5.92,4.60725
75,1987,24057,5.9325,5.06325
76,1987,479350.25,6.1025,4.0145
77,1987,534377.5,5.9825,3.77225
78,1987,1494905.5,6.01,5.6705
79,1987,2337073,6.18,6.17675
80,1987,1336026,6.26,4.39325
81,1987,259840.75,6.2275,3.88025
82,1987,344050.75,6.89,4.0405
83,1987,338574.5,6.87,3.7815
84,1987,155773.75,6.5075,2.38975
85,1987,312739.375,6.8075,2.1845
86,1987,284994.625,6.8075,2.27325
87,1987,808010.125,6.78,2.12175
88,1987,175671,7.1125,2.30075
89,1987,309672.5,7.075,2.50025
90,1987,93008.5,7.0675,2.60375
91,1987,470010.875,7.0675,2.45825
92,1987,470704.25,7.0675,2.103
93,1987,358221.125,6.965,1.714
94,1987,445285.875,6.965,2.1725
95,1987,127556.125,6.965,2.08875
96,1987,71561.375,6.965,2.446
97,1987,35149.5,6.9525,3.02525
98,1987,118074,6.515,2.844
99,1987,134425.75,6.515,2.30475
100,1987,96852.625,6.515,2.5865
101,1987,202685.125,6.5,3.0815
102,1987,172257,6.4725,2.8825
103,1987,197256.125,6.53,3.137
104,1987,193674.25,5.96,3.722
105,1987,430819,5.96,3.18725
106,1987,430603.5,6.2525,3.487
107,1987,264933.5,6.2575,2.8435
108,1987,395283,6.2575,3.19925
109,1987,265870.75,6.2575,4.2105
110,1987,69075.75,6.285,3.4685
111,1987,465812.75,6.285,3.271
112,1987,588289,6.2975,2.905
113,1987,379492.5,6.3525,2.454
114,1987,83514,6.2925,3.03525
115,1987,217179,6.125,3.67425
116,1987,605042.25,5.92,3.9655
117,1987,409968.25,5.9275,4.0145
118,1987,167655,5.995,3.689
119,1987,664500,6.2675,3.9115
120,1987,637180.5,6.2675,3.62975
121,1987,146472,6.545,3.46375
122,1987,39820,6.5225,2.5205
