Site,Plant_ID,date,Total_fronds,New_fronds
ABUR,AB1,2002-05-10,50,-99999
ABUR,AB1,2002-06-12,44,10
ABUR,AB1,2002-07-12,46,9
ABUR,AB1,2002-08-09,52,16
ABUR,AB1,2002-09-10,52,11
ABUR,AB1,2002-10-11,51,13
ABUR,AB1,2002-11-21,31,6
ABUR,AB1,2002-12-09,20,0
ABUR,AB10,2002-05-10,114,-99999
ABUR,AB10,2002-06-12,58,12
ABUR,AB10,2002-07-12,48,18
ABUR,AB10,2002-08-09,49,10
ABUR,AB10,2002-09-10,33,5
ABUR,AB10,2002-10-11,26,4
ABUR,AB10,2002-11-21,12,5
ABUR,AB10,2002-12-09,12,2
ABUR,AB100,2005-10-11,19,-99999
ABUR,AB100,2005-11-04,18,3
ABUR,AB100,2005-12-05,19,4
ABUR,AB100,2006-01-24,15,10
ABUR,AB100,2006-02-21,15,2
ABUR,AB100,2006-03-14,15,2
ABUR,AB100,2006-04-10,5,4
ABUR,AB100,2006-05-02,4,0
ABUR,AB100,2006-06-07,5,1
ABUR,AB100,2006-07-01,6,1
ABUR,AB100,2006-08-04,3,0
ABUR,AB100,2006-09-01,3,1
ABUR,AB100,2006-10-03,4,1
ABUR,AB100,2006-11-01,4,1
ABUR,AB100,2006-12-01,5,1
ABUR,AB101,2005-07-05,15,-99999
ABUR,AB101,2005-08-08,12,0
ABUR,AB101,2005-09-13,7,1
ABUR,AB101,2005-10-11,2,0
ABUR,AB102,2005-07-05,18,-99999
ABUR,AB102,2005-08-08,24,6
ABUR,AB102,2005-09-13,19,2
ABUR,AB102,2005-10-11,19,7
ABUR,AB102,2005-11-04,22,7
ABUR,AB102,2005-12-05,25,3
ABUR,AB102,2006-01-24,35,23
ABUR,AB102,2006-02-21,40,7
ABUR,AB102,2006-03-14,45,5
ABUR,AB103,2005-07-05,9,-99999
ABUR,AB103,2005-08-08,7,1
ABUR,AB103,2005-09-13,6,2
ABUR,AB103,2005-10-11,6,1
ABUR,AB103,2005-11-04,3,0
ABUR,AB104,2005-07-05,8,-99999
ABUR,AB104,2005-08-08,8,4
ABUR,AB104,2005-09-13,8,2
ABUR,AB104,2005-10-11,6,2
ABUR,AB104,2005-11-04,8,2
ABUR,AB104,2005-12-05,8,2
ABUR,AB104,2006-01-24,7,5
ABUR,AB104,2006-02-21,5,0
ABUR,AB104,2006-03-14,3,0
ABUR,AB104,2006-04-10,4,1
ABUR,AB104,2006-05-02,3,0
ABUR,AB104,2006-06-07,3,2
ABUR,AB104,2006-07-01,3,0
ABUR,AB104,2006-08-04,3,0
ABUR,AB104,2006-09-01,4,2
ABUR,AB104,2006-10-03,4,2
ABUR,AB104,2006-11-01,5,1
ABUR,AB105,2005-07-05,18,-99999
ABUR,AB105,2005-08-08,20,5
ABUR,AB105,2005-09-13,10,1
ABUR,AB105,2005-10-11,8,3
ABUR,AB105,2005-11-04,9,4
ABUR,AB105,2005-12-05,9,0
ABUR,AB105,2006-01-24,1,1
ABUR,AB105,2006-02-21,0,0
ABUR,AB106,2005-07-05,15,-99999
ABUR,AB106,2005-08-08,15,4
ABUR,AB106,2005-09-13,11,4
ABUR,AB106,2005-10-11,14,3
ABUR,AB106,2005-11-04,12,2
ABUR,AB106,2005-12-05,15,4
ABUR,AB106,2006-01-24,14,3
ABUR,AB106,2006-02-21,17,5
ABUR,AB106,2006-03-14,15,2
ABUR,AB106,2006-04-10,18,6
ABUR,AB106,2006-05-02,24,10
ABUR,AB106,2006-06-07,18,8
ABUR,AB106,2006-07-01,20,3
ABUR,AB106,2006-08-04,9,2
ABUR,AB106,2006-09-01,3,1
ABUR,AB106,2006-10-03,6,3
ABUR,AB106,2006-11-01,6,1
