Site,Year,Season,NPP_dry,NPP_carbon,NPP_nitrogen,Growth_rate_dry,Growth_rate_carbon,Growth_rate_nitrogen,SE_NPP_dry,SE_NPP_carbon,SE_NPP_nitrogen,SE_growth_rate_dry,SE_growth_rate_carbon,SE_growth_rate_nitrogen
ABUR,2002,3-Summer,0.0642566874,0.0181838822,0.0013405899,0.027484863,0.0262013925,0.0271328676,0.0075911371,0.0023883613,0.000217765,0.0023424637,0.0024790823,0.0029398171
ABUR,2002,4-Autumn,0.0361242554,0.0089938052,0.0007882777,0.0249154535,0.024163093,0.0235306703,0.0074495585,0.0020192658,0.0001846275,0.0048383751,0.0049296822,0.0049894625
ABUR,2003,1-Winter,0.0131779162,0.0037249539,0.0002446782,0.0462644935,0.0477587186,0.0466633993,0.0027570298,0.0007772182,0.0000561853,0.0059489446,0.005974352,0.0062268768
ABUR,2003,2-Spring,0.0078607992,0.0024329176,0.0002087429,0.0333617299,0.034736102,0.0355086189,0.00162108,0.0005034639,0.0000451198,0.0053954786,0.0055045951,0.0056877856
ABUR,2003,3-Summer,0.0049752864,0.0016950382,0.0001048331,0.0281473564,0.0287028108,0.0285542172,0.0007410112,0.0002572428,0.0000195346,0.0037503217,0.003798185,0.0040490414
ABUR,2003,4-Autumn,0.0065900442,0.0017850039,0.0001512042,0.0353952037,0.0324202733,0.0362296314,0.001021904,0.0003079253,0.0000271609,0.0044224607,0.0045062656,0.0045915809
ABUR,2004,1-Winter,0.0038372253,0.0010041625,0.0000933375,0.0195678044,0.0193889597,0.0184324765,0.0010856805,0.000294798,0.0000295872,0.0053107375,0.0053731947,0.00565294
ABUR,2004,2-Spring,0.0000965974,0.0000259334,2.2202018E-6,0.0223853266,0.0236684944,0.0253313672,0.0000173617,4.6899371E-6,4.606748E-7,0.0042627095,0.0043719404,0.0048410771
ABUR,2004,3-Summer,0.0020820104,0.0006014125,0.0000272519,0.0580591611,0.058841697,0.0516799367,0.0002904765,0.0000875596,4.5002807E-6,0.0044525784,0.0045047134,0.004712195
ABUR,2004,4-Autumn,0.0055356788,0.0015396899,0.0000676526,0.0363989594,0.035781609,0.0371647926,0.0007664456,0.0002207777,0.0000121302,0.0035036303,0.0035451971,0.0041677688
ABUR,2005,1-Winter,0.0009752759,0.0002197595,0.0000123033,0.0132521465,0.0133309234,0.0132207234,0.0003865893,0.0000984346,5.4222264E-6,0.0046765007,0.0048238613,0.0049797364
ABUR,2005,2-Spring,0.0028600198,0.0007570932,0.0000757733,0.042088869,0.0419849757,0.049134109,0.0003710819,0.0001024508,0.0000128748,0.0035630281,0.0037122175,0.0041838838
ABUR,2005,3-Summer,0.0030341754,0.0008295623,0.000032443,0.0283789593,0.0292333166,0.019002622,0.0004297894,0.0001227421,7.4848236E-6,0.0032456668,0.0033437993,0.0035617697
ABUR,2005,4-Autumn,0.0054186317,0.0014805821,0.0000703037,0.0297842546,0.0297244505,0.0332587996,0.000763588,0.000218708,0.0000123142,0.0030254112,0.0031298984,0.0036870103
ABUR,2006,1-Winter,0.0012900814,0.0003366423,0.0000325271,0.0242320295,0.0226930441,0.0297162218,0.0002767408,0.0000843374,6.9598191E-6,0.0033730654,0.0034821732,0.0043150953
