Site,date,FSC_dry,FSC_carbon,FSC_nitrogen,FSC_fraction_canopy,Frond_density,Plant_density,Surface_Irradiance,Bottom_Irradiance,Subsurface_Irradiance,Plant_loss_rate,Frond_loss_rate,Cut_frond_loss_rate,Blade_loss_rate,Dissolved_loss_rate,Carbon_lost_as_plants,Carbon_lost_as_fronds,Carbon_lost_as_cut_fronds,Carbon_lost_as_blades,Carbon_lost_as_dissolved,SE_FSC_dry,SE_FSC_carbon,SE_FSC_nitrogen,SE_FSC_fraction_canopy,SE_frond_density,SE_plant_density,SE_plant_loss_rate,SE_frond_loss_rate,SE_cut_frond_loss_rate,SE_blade_loss_rate,SE_dissolved_loss_rate,SE_carbon_lost_as_plants,SE_carbon_lost_as_fronds,SE_carbon_lost_as_cut_fronds,SE_carbon_lost_as_blades,SE_carbon_lost_as_dissolved
ABUR,2002-05-10,2.1858529234,0.4349439153,0.0454639571,0.5456466238,17.025,0.5375,793.70811464,24.958369939,172.53316133,-99999,-99999,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.3077524869,0.0671634948,0.0098020764,0.0107463232,2.154407045,0.0545951875,-99999,-99999,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999
ABUR,2002-06-12,2.23136233,0.7020525227,0.0546186136,0.5564014845,14.466666667,0.5375,844.46679888,27.295076652,174.72299094,0,0.0154740686,0.0004724036,0.0125938563,0.0041354653,0,0.0086326932,0.0002635451,0.0070258767,0.0023070987,0.3243786322,0.1101708414,0.011928732,0.0156786724,1.89319389,0.0559675881,0,0.0047968594,0.0000961551,0.0010586049,0.0003088414,0,0.0028666861,0.0000644753,0.0009637629,0.0002607325
ABUR,2002-07-12,1.900148088,0.5612754828,0.0330766086,0.6202126252,11.05,0.3,813.14596156,25.869774703,167.10729987,0,0.0092633979,0,0.0129163846,0.0034995656,0,0.0058270547,0,0.0081249322,0.0022013693,0.3103745218,0.0998846574,0.0075699662,0.0142629658,1.4526078182,0.0288496974,0,0.0028924476,0,0.0011038489,0.000250324,0,0.0019474353,0,0.0011710461,0.0002694952
ABUR,2002-08-09,2.5674140682,0.8091875395,0.059148151,0.5562421477,16.504166667,0.4583333333,804.20309487,36.774864323,179.262348,0,0.0061436487,0,0.012847818,0.0034776926,0,0.0041634938,0,0.0087068473,0.0023568001,0.363388049,0.1278047682,0.012997787,0.0112884669,1.9823533437,0.0446255028,0,0.0018192953,0,0.0011287676,0.0002422475,0,0.0013166855,0,0.0012820081,0.000285005
ABUR,2002-09-10,2.3024560632,0.6706444757,0.046729268,0.5232304383,20.4875,0.5708333333,761.44471993,38.115369173,175.975886,0,0.0114815309,0,0.0123476648,0.0032779262,0,0.00847049,0,0.0091094796,0.0024182874,0.3533450142,0.1148239827,0.0104479222,0.0189367234,2.5817067534,0.0597493642,0,0.0034747857,0,0.0010522752,0.0002312927,0,0.0027650581,0,0.0013614386,0.0002750522
ABUR,2002-10-11,3.1361240501,0.7799598743,0.0728699806,0.5719914844,20.654166667,0.5916666667,684.20293125,46.335921205,168.376722,0,0.0109211128,0.0000120958,0.0122776781,0.0035454535,0,0.0079060897,8.7565084E-6,0.0088881441,0.00256665,0.4267812712,0.1183839714,0.015469906,0.0094584099,2.4117076594,0.0623212635,0,0.0034237663,3.5347071E-6,0.0010376537,0.0002584595,0,0.0026245656,2.7549321E-6,0.0012760997,0.0003040338
ABUR,2002-11-21,0.6117218301,0.1625266383,0.013482745,0.4737244334,4.9333333333,0.1958333333,578.69072883,41.057855319,141.06939179,0.0086993889,0.0254228444,0.0002816549,0.0121700508,0.0034089184,0.0034246939,0.0100082272,0.0001108793,0.0047909915,0.001341991,0.0993391663,0.0285925874,0.0030334311,0.01788811,0.6897272602,0.021088341,0.005420917,0.00795908,0.000100633,0.0009975526,0.0002681917,0.0021744742,0.0032615305,0.0000401477,0.00068358,0.0001688664
ABUR,2002-12-09,0.8471961159,0.2206386365,0.0158621033,0.5707782281,5.4333333333,0.2,533.47905732,26.29791898,128.67313527,0,0.0144765686,0,0.0121109294,0.0030556538,0,0.0027520624,0,0.0023023435,0.0005808939,0.1433894882,0.0399341096,0.0036182451,0.0151643785,0.7201282357,0.0217312235,0,0.0045479522,0,0.001006016,0.0002182444,0,0.00092666,0,0.0003477902,0.0000758107
ABUR,2003-01-16,0.1416172187,0.034953007,0.0027228125,0.4996896163,0.9666666667,0.0208333333,511.33830594,13.876855553,108.78662761,0.0316834949,0.0223967184,0,0.0124658502,0.0030746712,0.0031929988,0.0022570962,0,0.0012562833,0.0003098592,0.0422583781,0.0108077838,0.0009377134,0.0407122867,0.2206892012,0.0029336041,0.0140372729,0.0062927242,0,0.0010193503,0.0002467832,0.0015116849,0.0007422301,0,0.0002242558,0.0000513499
ABUR,2003-02-18,0.2484597049,0.0682817165,0.0038895781,0.4918760178,1.7041666667,0.025,563.53925397,12.887136642,113.7705773,0.0055248957,0.0152207513,0,0.0122451013,0.0029880448,0.0002749811,0.0007575561,0,0.0006094542,0.0001487188,0.0754350509,0.0210834592,0.00135915,0.0342811517,0.4405923602,0.004131933,0.0043424369,0.0047969463,0,0.0009883335,0.0002320717,0.0002210679,0.0002856507,0,0.0001451613,0.0000346504
