"YEAR","MONTH","DATE","SITE","TRANSECT","SP_CODE","SIZE","COUNT","AREA","NOTES","SCIENTIFIC_NAME","COMMON_NAME","TAXON_KINGDOM","TAXON_PHYLUM","TAXON_CLASS","TAXON_ORDER","TAXON_FAMILY","TAXON_GENUS","GROUP","SURVEY","MOBILITY","GROWTH_MORPH"
2008,10,"2008-10-10","NAPL",3,"SFL",2.5,34,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-10","NAPL",3,"SFL",3,14,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-10","NAPL",3,"SFL",3.5,13,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-10","NAPL",3,"SFL",4,8,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-10","NAPL",3,"SFL",4.5,6,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-10","NAPL",3,"SFL",5,5,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-10","NAPL",3,"SFL",5.5,3,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-10","NAPL",3,"SFL",6,2,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-10","NAPL",3,"SFL",6.5,2,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-10","NAPL",3,"SFL",7,3,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-10","NAPL",3,"SFL",7.5,1,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",7.5,1,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",8,1,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",9,2,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",10,3,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",10.5,1,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",11,2,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",12,2,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",13,1,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",13.5,1,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",14,1,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-22","MOHK",2,"SFL",15,1,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-24","CARP",7,"SFL",3,1,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-24","CARP",7,"SFL",3.5,1,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-24","CARP",7,"SFL",4,3,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-24","CARP",7,"SFL",4.5,3,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-24","CARP",7,"SFL",5,7,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-24","CARP",7,"SFL",5.5,11,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-24","CARP",7,"SFL",6,15,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-24","CARP",7,"SFL",6.5,9,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-24","CARP",7,"SFL",7,9,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
2008,10,"2008-10-24","CARP",7,"SFL",7.5,9,80,"","Mesocentrotus franciscanus","Red Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","INVERT","URCHINS","MOBILE","SOLITARY"
